B000944,Sherrod Brown
R000078,Joseph Ray
R000124,Joseph Reed
R000365,Francis Rockwell
R000399,John Rogers
R000478,Jonathan Rowell
R000479,Alfred Rowland
R000559,Thomas Ryan
S000088,John Sawyer
S000241,George Seney
S000424,William Simonds
S000470,Thomas Skinner
S000521,Charles Smith
S000653,Samuel Snider
S000740,Henry Spooner
S000914,John Stewart
S000930,Moses Stivers
S000933,Henry Stockbridge
S001028,Isaac Struble
S001112,Joseph Sweney
T000180,Ormsby Thomas
T000191,Albert Thompson
T000329,Charles Townsend
T000339,Richard Townshend
T000415,Charles Turner
T000419,Erastus Turner
V000058,Isaac Van Schaick
V000031,William Vandever
V000078,Richard Vaux
V000085,Edward Venable
W000003,Edmund Waddill
W000008,William Wade
W000058,James Walker
W000083,Rodney Wallace
W000085,William Wallace
W000175,William Washburn
W000204,Lewis Watson
W000333,Frank Wheeler
W000407,Robert Whitelaw
W000429,Washington Whitthorne
W000441,Charles Wickham
W000452,David Wilber
W000468,John Wiley
W000477,Theodore Wilkinson
W000496,Elihu Williams
W000594,James Wilson
Y000007,Robert Yardley
Y000020,Samuel Yoder
C000145,Joseph Carey
C000152,John Carlisle
M000357,William McConnell
P000486,Thomas Power
S000039,Wilbur Sanders
A000171,Lemuel Amerman
A000242,John Andrew
A000264,Edwin Antony
A000331,Louis Atkinson
B000001,Clinton Babbitt
B000016,Henry Bacon
B000197,Horace Bartine
B000309,Joseph Beeman
B000328,Charles Belknap
B000393,Henry Bentley
B000404,Christopher Bergen
B000568,James Blount
B000625,David Boody
B000706,Thomas Bowman
B000818,Calvin Brice
B000930,John Brown
B000980,David Brunner
B001004,James Buchanan
B001007,John Buchanan
B001052,Robert Bullock
B001067,Thomas Bunting
B001164,Samuel Busey
B001170,Allen Bushnell
B001193,Walter Butler
B001219,Samuel Byrns
C000006,Benjamin Cable
C000023,John Caine
C000051,Wilkinson Call
C000065,James Cameron
C000242,James Castle
C000249,William Cate
C000304,Alfred Chapin
C000340,Henry Cheatham
C000533,Benjamin Clover
C000557,Frank Coburn
C000739,Frederick Coolidge
C000829,William Cowles
C000832,Isaac Cox
C000854,Alexander Craig
C000929,John Crosby
C001030,John Cutting
D000039,Warren Daniell
D000310,W. Dickerson
D000378,William Dixon
D000379,Robert Doan
D000539,James Dungan
E000267,Robert Everett
F000068,Charles Felton
F000206,James Flick
F000217,Roswell Flower
F000265,Melbourne Ford
F000280,William Forney
F000326,Samuel Fowler
G000030,John Gamble
G000043,Martin Gantz
G000157,Charles Gibson
G000195,Eugene Gillespie
G000313,John Gordon
G000432,Halbert Greenleaf
H000084,Edwin Hallowell
H000094,Kittel Halvorson
H000113,John Hamilton
H000228,William Harries
H000305,David Harvey
H000401,William Haynes
H000469,John Hemphill
H000524,Hilary Herbert
H000657,Sherman Hoar
H000818,Leonidas Houk
I000027,John Irby
J000202,George Johnstone
J000203,John Jolley
K000092,John Kendall
L000019,Matthew Lagan
L000145,John Lawson
L000208,William Lee
L000254,Posey Lester
L000276,Clarke Lewis
L000353,Joseph Little
L000422,John Long
M000115,Charles Mansur
M000329,Charles McClellan
M000409,Edward McDonald
M000500,Joseph McKenna
M000526,Luther McKinney
M000746,Lucas Miller
M000908,Littleton Moore
N000063,Walter Newberry
N000157,Richard Norton
O000039,James O’Donnell
O000057,Lewis Ohliger
O000129,John Otis
O000158,James Owens
P000016,Henry Page
P000042,John Palmer
P000078,William Parrett
P000135,John Pattison
P000137,David Patton
P000184,Samuel Peel
P000188,William Peffer
P000561,James Pugh
Q000001,John Quackenbush
R000013,John Raines
R000251,John Rife
R000366,Hosea Rockwell
R000535,Leslie Russell
S000047,John Sanford
S000183,Owen Scott
S000205,Edward Scull
S000226,John Seerley
S000376,George Shonk
S000660,Herman Snow
S000738,Francis Spinola
S000761,Watson Squire
S000774,Eli Stackhouse
S000781,William Stahlnecker
S000793,Leland Stanford
S000897,Lewis Steward
S000900,Andrew Stewart
S000904,Charles Stewart
S000980,Byron Stout
S001043,Herman Stump
T000062,Abner Taylor
T000073,Ezra Taylor
T000093,Joseph Taylor
T000101,Vincent Taylor
T000275,George Tillman
T000334,Hosea Townsend
V000041,George Van Horn
V000021,Zebulon Vance
V000099,William Vilas
V000116,Daniel Voorhees
W000169,John Warwick
W000336,Harrison Wheeler
W000366,Edward White
W000369,Frederick White
W000451,Scott Wike
W000480,Washington Willcox
W000489,Archibald Williams
W000497,George Williams
W000601,John Wilson
W000611,Robert Wilson
W000638,Thomas Winn
Y000027,Henry Youmans
H000590,David Hill
H000999,Eppa Hunton
M000777,Roger Mills
P000228,Bishop Perkins
A000047,Silas Adams
A000080,John Alderson
A000102,Sydenham Alexander
A000292,Marshall Arnold
B000094,Melvin Baldwin
B000159,Lyman Barnes
B000218,Charles Barwig
B000294,William Beckner
B000355,Frank Beltzhoover
B000504,John Black
B000524,Henry Blair
B000590,Haldor Boen
B000688,William Bower
B000765,William Branch
B000773,Robert Bratton
B000775,William Brawley
B000784,Clifton Breckinridge
B000790,William Breckinridge
B000807,John Bretz
B000821,George Brickner
B000886,Elijah Brookshire
B000924,Jason Brown
B000995,William Bryan
B001059,Hezekiah Bundy
B001062,Benjamin Bunn
B001115,Daniel Burnes
B001205,William Bynum
C000001,Thomas Cabaniss
C000010,Cornelius Cadmus
C000034,John Caldwell
C000062,Johnson Camden
C000069,Anthony Caminetti
C000103,Timothy Campbell
C000122,Marion Cannon
C000129,James Capehart
C000208,Asher Caruth
C000257,John Causey
C000354,Robert Childs
C000367,John Chipman
C000410,John Clancy
C000585,Henry Coffeen
C000660,Barnes Compton
C000683,Charles Conn
C000742,William Coombs
C000750,George Cooper
C000786,Johnston Cornish
C000814,James Covert
D000115,John Davis
D000190,Robert De Forest
D000253,William Denson
D000420,Dennis Donovan
D000550,John Dunn
D000556,Edward Dunphy
D000564,Allan Durborow
E000057,Paul Edmunds
E000139,William Ellis
E000188,Thomas English
E000189,Warren English
E000192,Benjamin Enloe
E000193,William Enochs
E000195,James Epes
E000269,William Everett
F000045,Charles Faulkner
F000067,John Fellows
F000109,George Fielder
F000157,Ashbel Fitch
F000162,George Fithian
F000275,William Forman
F000427,Benjamin Funk
F000429,Edward Funston
F000436,Robert Fyan
G000113,Thomas Geary
G000119,Jacob Geissenhainer
G000127,James George
G000269,Julius Goldzier
G000292,Isaac Goodnight
G000328,James Gorman
G000350,Benjamin Grady
G000358,John Graham
G000396,George Gray
G000452,Walter Gresham
G000463,Levi Griffin
H000025,Charles Haines
H000065,Osee Hall
H000134,Thomas Hammond
H000201,Darius Hare
H000296,Michael Harter
H000339,William Hatch
H000351,Nils Haugen
H000394,Walter Hayes
H000427,John Heard
H000485,John Henderson
H000489,Thomas Henderson
H000496,Joseph Hendrix
H000521,Winder Henry
H000635,William Hines
H000769,Albert Hopkins
H000816,George Houk
H000817,John Houk
H000909,Thomas Hudson
I000008,George Ikirt
I000054,James Izlar
J000178,Tom Johnson
J000270,Edwin Jorden
J000272,Antonio Joseph
K000173,Constantine Kilgore
K000330,George Kribbs
L000058,Edward Lane
L000093,Oscar Lapham
L000312,William Lilly
L000345,Marcus Lisle
L000392,Daniel Lockwood
L000495,William Lucas
L000534,Thomas Lynch
M000051,Thomas Magner
M000156,James Marshall
M000167,Augustus Martin
M000185,John Martin
M000209,Francis Marvin
M000401,John McDannold
M000417,Alexander McDowell
M000430,Michael McEttrick
M000488,William McKaig
M000498,William McKeighan
M000580,William McNagny
M000821,John Mitchell
M000863,Alexander Montgomery
M000885,John Moon
M000901,Horace Moore
M001090,Edward Murphy
M001125,William Mutchler
O000040,Charles O’Ferrall
O000092,Joseph O’Neil
O000093,Charles O’Neill
O000097,John O’Neill
O000005,William Oates
O000136,Joseph Outhwaite
P000015,Charles Page
P000094,Thomas Paschal
P000095,Samuel Pasco
P000164,Albert Pearson
P000199,Lafayette Pence
P000205,John Pendleton
P000344,James Pigott
R000037,Charles Randall
R000153,James Reilly
R000213,James Richards
R000220,George Richardson
R000272,Byron Ritchie
R000290,William Roach
R000561,William Ryan
S000123,Simon Schermerhorn
S000305,George Shaw
S000324,George Shell
S000346,John Sherman
S000402,Daniel Sickles
S000451,William Sipe
S000561,James Smith
S000655,Henry Snodgrass
S000677,Peter Somers
S000732,Lewis Sperry
S000757,William Springer
S000884,Moses Stevens
S000932,Francis Stockbridge
S000934,Thomas Stockdale
S000969,William Stone
S000970,Bellamy Storer
S001000,Isidor Straus
S001110,Willis Sweet
T000064,Alfred Taylor
T000065,Arthur Taylor
T000341,Charles Tracey
T000432,David Turpie
T000434,Louis Turpin
V000063,John Van Voorhis
W000153,John Warner
W000214,Daniel Waugh
W000219,Thomas Weadock
W000286,Owen Wells
W000313,John Wever
W000335,Hamilton Wheeler
W000394,Stephen White
W000398,William White
W000415,Justin Whiting
W000623,William Wilson
W000648,George Wise
W000685,Simon Wolverton
W000767,Myron Wright
B000541,Newton Blanchard
J000063,Thomas Jarvis
P000141,John Patton
W000103,Patrick Walsh
A000005,Jo Abbott
A000068,David Aitken
A000082,James Aldrich
A000085,Truman Aldrich
A000117,Clarence Allen
A000238,William Anderson
A000271,Lewis Apsley
A000298,Warren Arnold
A000336,Harrison Atwood
A000346,John Avery
B000061,Henry Baker
B000070,Lucien Baker
B000075,William Baker
B000202,Franklin Bartlett
B000333,Charles Bell
B000496,Frank Black
B000502,James Black
B000573,Richard Blue
B000580,Charles Boatner
B000692,William Bowers
B000915,Foster Brown
B001012,Charles Buck
B001136,Orlando Burrell
B001147,Charles Burton
B001183,Marion Butler
C000016,Donelson Caffery
C000298,William Chandler
C000357,Horace Chilton
C000423,Charles Clark
C000469,Richard Clarke
C000549,James Cobb
C000550,Seth Cobb
C000577,Jeremiah Cockrell
C000588,Charles Coffin
C000595,William Cogswell
C000726,Samuel Cook
C000746,Charles Cooper
C000822,John Cowen
C000865,William Crain
C000908,Charles Crisp
C000944,Miles Crowley
C000949,George Crowther
C000964,David Culberson
C001012,Newton Curtis
D000040,Charles Daniels
D000286,Francis De Witt
D000251,Walter Denny
D000430,William Doolittle
D000473,Finis Downing
D000488,William Draper
E000117,Tazewell Ellett
E000199,Constantine Erdman
G000110,John Gear
G000305,Albert Goodwyn
G000487,Matthew Griswold
H000009,William Hadley
H000024,Eugene Hainer
H000075,Uriel Hall
H000093,Frederick Halterman
H000159,James Hanly
H000194,Alexander Hardy
H000243,Isham Harris
H000253,Stephen Harris
H000270,George Harrison
H000289,Joseph Hart
H000337,Jethro Hatch
H000453,Daniel Heiner
H000491,John Hendrick
H000777,Nathan Hopkins
H000884,Joel Hubbard
H000937,George Hulick
H000938,James Huling
H001007,Joseph Hutcheson
H001024,Samuel Hyde
J000134,Grove Johnson
K000083,Omer Kem
K000095,Joseph Kendall
K000166,Andrew Kiefer
K000238,Snyder Kirkpatrick
K000354,John Kyle
L000146,Thomas Lawson
L000152,Fernando Layton
L000158,Jacob Le Fever
L000233,Jacob Leighty
L000235,John Leisenring
L000245,Fred Leonard
L000288,John Lewis
L000327,William Lindsay
L000341,William Linton
L000391,James Lockhart
M000116,Lee Mantle
M000300,George McBride
M000304,John McCall
M000344,Addison McClure
M000371,Richard McCormick
M000402,James McDearmon
M000441,Lawrence McGann
M000502,William McKenney
M000634,George Meiklejohn
M000647,Elisha Meredith
M000706,Joshua Miles
M000749,Orrin Miller
M000783,Alfred Milnes
M000792,Henry Miner
M001007,Elijah Morse
M001027,Charles Moses
M001056,Norman Mozley
M001091,Everett Murphy
M001102,Nathan Murphy
M001106,George Murray
N000025,Robert Neill
N000131,George Noonan
O000161,William Owens
P000124,Josiah Patterson
P000202,George Pendleton
P000271,Richard Pettigrew
P000313,Thomas Phillips
P000329,John Pickler
P000429,Theodore Poole
P000457,Philip Post
P000521,Andrew Price
R000052,John Raney
R000161,Frederick Remann
R000261,John Rinaker
R000342,John Robinson
R000516,Harry Rusk
R000520,Benjamin Russell
S000192,Joseph Scranton
S000253,Thomas Settle
S000262,William Sewell
S000309,John Shaw
S000382,George Shoup
S000679,Paul Sorg
S000726,James Spencer
S000780,James Stahle
S000865,Samuel Stephenson
S001014,Luther Strong
T000007,Charles Taft
T000043,John Tarsney
T000168,Henry Thomas
T000256,John Thurston
T000340,Robert Tracewell
T000342,John Tracey
T000363,William Treloar
T000421,Henry Turner
T000427,Smith Turner
T000448,David Tyler
V000042,Robert Van Horn
W000098,James Walsh
W000111,Edward Walthall
W000181,Joseph Washington
W000200,David Watson
W000562,Jonathan Willis
W000583,George Wilson
W000602,John Wilson
W000667,Edward Wolcott
W000691,Benson Wood
W000707,Frederick Woodard
W000715,Charles Woodman
W000739,Ephraim Woomer
Y000018,Charles Yoakum
B000902,Arthur Brown
C000118,Frank Cannon
M000522,William McKinley
A000299,William Arnold
B000066,Jehu Baker
B000121,Isaac Barber
B000149,Charles Barlow
B000180,William Barrett
B000186,Samuel Barrows
B000262,Clifton Beach
B000325,James Belden
B000327,Joseph Belford
B000329,Hugh Belknap
B000366,George Benner
B000372,Charles Bennett
B000584,Robert Bodine
B000633,William Booze
B000654,Jeremiah Botkin
B000815,Henry Brewster
B000856,Case Broderick
B000973,Ferdinand Brucker
C000053,James Callahan
C000089,James Campbell
C000241,Curtis Castle
C000415,John Clardy
C000452,Samuel Clark
C000580,James Codding
C000649,David Colson
C000697,James Connolly
C000731,Edward Cooke
C000876,John Cranford
C001010,George Curtis
D000144,George Davison
D000182,William Deboe
D000384,Alexander Dockery
D000436,Charles Dorr
E000009,Joseph Earle
E000260,Walter Evans
F000076,Lucien Fenton
F000138,Israel Fischer
F000252,Wallace Foote
F000323,John Fowler
G000464,Michael Griffin
G000525,James Gunn
H000015,Alva Hager
H000156,Levin Handy
H000258,William Harris
H000300,Charles Hartman
H000458,Henry Heitfeld
H000503,Charles Henry
H000565,Josiah Hicks
H000583,Samuel Hilborn
H000637,William Hinrichsen
H000732,William Holman
H000843,Milford Howard
H000852,James Howe
H000980,Andrew Hunter
H001004,Denis Hurley
J000138,Henry Johnson
J000231,James Jones
J000237,John Jones
J000260,William Jones
K000060,John Kelley
K000121,Richard Kenney
K000241,William Kirkpatrick
K000293,Freeman Knowles
K000338,Monroe Kulp
K000353,James Kyle
L000461,William Love
L000471,Philip Low
M000059,James Maguire
M000062,Rowland Mahany
M000153,George Marshall
M000172,Charles Martin
M000270,Samuel Maxwell
M000370,Nelson McCormick
M000411,John McDonald
M000431,Thomas McEwan
M000480,William McIntire
M000543,John McLaurin
M000575,Benton McMillin
M000761,Warren Miller
M000769,Seth Milliken
M000773,Daniel Mills
M000822,John Mitchell
M000969,Justin Morrill
N000144,Stephen Northway
O000036,Benjamin Odell
O000044,Henry Ogden
O000113,John Osborne
P000233,George Perkins
P000254,Mason Peters
P000370,Mahlon Pitney
P000388,Thomas Plowman
P000545,Jeter Pritchard
Q000011,Lemuel Quigg
R000073,Joseph Rawlins
R000490,Lemuel Royse
S000071,Edward Sauerhering
S000099,Joseph Sayers
S000288,Richard Shannon
S000389,Alonzo Shuford
S000428,John Simpkins
S000432,Jeremiah Simpson
S000468,Harry Skinner
S000658,Horace Snover
S000696,George Spalding
S000953,Charles Stone
S000966,William Stone
S000989,Thomas Strait
S001007,Jesse Strode
S001027,William Strowd
S001050,John Sturtevant
T000244,Robert Thorp
T000291,Albert Todd
T000412,Thomas Turley
T000420,George Turner
U000019,Thomas Updegraff
V000080,John Vehslage
V000091,George Vest
V000103,William Vincent
W000056,James Walker
W000062,Joseph Walker
W000144,William Ward
W000279,George Wellington
W000371,George White
W000453,David Wilber
W000530,Morgan Williams
W000579,Francis Wilson
W000754,Ashley Wright
Y000025,Jacob Yost
S000422,Joseph Simon
S001062,William Sullivan
A000087,William Aldrich
A000134,John Allen
A000153,William Allen
A000334,John Atwater
B000051,Willis Bailey
B000055,Samuel Baird
B000076,William Baker
B000123,Laird Barber
B000140,John Barham
B000227,William Bate
B000414,Albert Berry
B000544,Richard Bland
B000746,Thomas Bradley
B000801,John Brenner
B000812,Willis Brewer
B000943,Seth Brown
C000074,Albert Campbell
C000247,Thomas Catchings
C000303,William Chanler
C000351,Charles Chickering
C000460,Frank Clarke
C000492,Bertram Clayton
C000568,Aaron Cochrane
C000576,Francis Cockrell
C000838,Nicholas Cox
C001015,Thomas Cusack
D000015,William Daly
D000028,Lorenzo Danford
D000077,Samuel Davenport
D000078,Stanley Davenport
D000095,Cushman Davis
D000277,Marion De Vries
D000356,Nelson Dingley
D000497,Edmund Driggs
E000196,Sydney Epes
E000205,Daniel Ermentrout
F000016,George Faris
F000177,Thomas Fitzpatrick
F000298,Addison Foster
F000367,Romeo Freer
G000095,Athelston Gaston
G000107,June Gayle
G000247,Martin Glynn
G000429,William Greene
G000501,William Grout
H000163,Marcus Hanna
H000215,Alfred Harmer
H000377,Joseph Hawley
H000378,Robert Hawley
H000409,Monroe Hayward
H000512,Patrick Henry
H000680,John Hoffecker
H000681,Walter Hoffecker
H000760,Warren Hooker
J000186,David Johnston
K000142,Josiah Kerr
K000145,Winfield Kerr
L000063,Joseph Lane
L000244,John Lentz
L000339,Romulus Linney
L000523,Archibald Lybrand
M000276,Mitchell May
M000294,William McAleer
M000351,Louis McComas
M000421,John McDowell
M000594,Smith McPherson
M000630,David Meekison
M000666,William Mesick
N000130,Edward Noonan
N000149,James Norton
O000051,James O’Grady
P000007,Horace Packer
P000582,Charles Pearce
P000169,Richmond Pearson
P000225,Pedro Perea
P000307,Fremont Phillips
P000490,Horace Powers
P000564,Samuel Pugh
Q000003,Joseph Quarles
Q000004,Julian Quarles
R000128,Thomas Reed
R000244,Edwin Ridgely
R000299,Gaston Robbins
R000450,Jonathan Ross
R000557,James Ryan
S000252,Evan Settle
S000742,Charles Sprague
S000784,Jesse Stallings
S000898,Alexander Stewart
S000922,William Stewart
S001085,Roderick Sutherland
T000137,William Terry
T000248,Joseph Thropp
T000426,Oscar Turner
U000008,John Underhill
W000188,Russell Waters
W000229,Walter Weaver
W000316,George Weymouth
W000338,Joseph Wheeler
W000372,George White
W000573,Edgar Wilson
W000612,Stanyarne Wilson
W000653,Richard Wise
Y000056,William Young
Z000006,Edward Ziegler
B000138,Thomas Bard
A000125,Henry Allen
A000265,Henry Aplin
B000163,Samuel Barney
B000341,John Bell
B000349,John Bellamy
B000352,Oliver Belmont
B000418,James Berry
B000465,Alexander Billmeyer
B000508,Joseph Blackburn
B000673,Charles Boutelle
B000843,Henry Bristow
B000866,Jacob Bromwell
B000892,Marriott Brosius
B001048,Melville Bull
B001097,Robert Burke
B001154,Joseph Burton
C000157,Edward Carmack
C000454,William Clark
C000706,Joseph Conry
C000741,Frank Coombs
C000744,James Cooney
C000779,John Corliss
C000899,Thomas Creamer
C000957,Rousseau Crump
C000983,Amos Cummings
D000005,Herman Dahle
D000194,Reese De Graffenreid
D000341,Charles Dietrich
D000509,Fred Dubois
E000038,Frank Eddy
E000061,Caldwell Edwards
E000129,William Elliott
E000173,Louis Emerson
F000058,John Feely
F000185,De Flanagan
F000198,William Fleming
F000226,Dennis Flynn
F000330,Andrew Fox
G000164,Paris Gibson
G000239,Thomas Glenn
G000314,Robert Gordon
G000411,Henry Green
G000507,Galusha Grow
H000054,James Hall
H000143,Harry Hanbury
H000434,Joel Heatwole
H000478,David Henderson
H000513,Patrick Henry
H000654,George Hoar
H000758,Charles Hooker
I000041,Harvey Irwin
J000001,Summers Jack
J000003,Alfred Jackson
J000102,Thomas Jett
J000274,Charles Joy
K000034,Thomas Kearns
K000131,Frederick Kern
K000258,Rudolph Kleberg
K000299,William Knox
L000078,Samuel Lanham
L000253,Montague Lessler
L000292,Robert Lewis
L000448,Eugene Loud
M000391,Philip McCulloch
M000567,James McMillan
M000597,Thomas McRae
M000643,David Mercer
M000694,J. Mickey
M000710,Joseph Millard
M000818,John Mitchell
M000880,James Moody
M000882,Malcolm Moody
M000883,William Moody
M000954,John Morgan
M000986,Robert Morris
M001036,John Moss
M001071,Nicholas Muller
M001124,Howard Mutchler
N000004,Henry Naphen
N000056,William Neville
N000150,James Norton
O000126,Peter Otey
P000130,Thomas Patterson
P000410,Rufus Polk
P000565,Cornelius Pugsley
Q000006,Matthew Quay
R000076,George Ray
R000139,Walter Reeves
R000183,William Rhea
R000345,John Robinson
R000504,John Rumple
R000521,Charles Russell
S000017,Joshua Salmon
S000127,Charles Schirm
S000231,Thomas Selby
S000300,William Shattuc
S000302,Albert Shaw
S000321,Carlos Shelden
S000336,John Sheppard
S000385,Joseph Showalter
S000547,Henry Smith
S000654,Charles Snodgrass
S000811,William Stark
S000830,George Steele
S000911,James Stewart
S000916,John Stewart
S000947,James Stokes
S000974,Frederic Storm
S001090,Edward Swann
T000016,William Talbert
T000061,Robert Tayler
T000302,Arthur Tompkins
T000307,Emmett Tompkins
W000022,George Wagoner
W000243,Edgar Weeks
W000331,Charles Wheeler
W000379,James White
W000459,Robert Wilcox
W000726,Samuel Woods
W000740,Dudley Wooten
Y000041,James Young
A000107,Russell Alger
D000507,John Dryden
A000110,James Allee
A000160,William Allison
A000258,Levi Ankeny
B000021,De Badger
B000073,Robert Baker
B000101,Thomas Ball
B000225,Edward Bassett
B000347,Theodore Bell
B000385,Allan Benny
B000397,Maecenas Benton
B000637,Vincent Boreing
B000781,Phanor Breazeale
B000923,James Brown
B001085,Henry Burk
B001178,James Butler
C000239,John Cassingham
C000562,Charles Cochran
C000687,William Connell
C000825,William Cowherd
C000921,George Croft
C000922,Theodore Croft
C000943,Joseph Crowley
D000042,Milton Daniels
D000132,Robert Davis
D000196,Federico Degetau
D000250,James Denny
D000307,Charles Dickerman
D000358,Hugh Dinsmore
D000447,John Dougherty
D000458,William Douglas
E000170,Martin Emerich
E000232,Alvin Evans
F000003,Charles Fairbanks
F000176,Morgan Fitzpatrick
F000232,Robert Foerderer
F000253,Joseph Foraker
F000303,George Foster
F000420,Charles Fulton
G000161,Henry Gibson
G000189,Joseph Gill
G000199,Charles Gillet
G000273,Daniel Gooch
G000326,Arthur Gorman
G000468,Francis Griffith
H000169,Henry Hansbrough
H000585,Charles Hildebrant
H000770,Albert Hopkins
H000823,Henry Houston
H000862,George Howell
H000989,Whiteside Hunter
J000004,Amos Jackson
K000045,James Kehoe
K000255,Alfred Kittredge
K000275,Theodore Kluttz
K000355,Thomas Kyle
L000084,William Lanning
L000114,Asbury Latimer
L000319,John Lind
L000365,Edward Livernash
L000412,Chester Long
L000500,Alfred Lucking
M000040,John Maddox
M000069,William Mahoney
M000085,Stephen Mallory
M000331,George McClellan
M000382,James McCreary
M000672,Victor Metcalf
M000700,Robert Miers
M000957,Stephen Morgan
O000130,Norton Otis
P000279,Edmund Pettus
P000337,Rice Pierce
P000382,Orville Platt
P000383,Thomas Platt
P000441,Henry Porter
P000492,Samuel Powers
R000182,John Rhea
R000222,James Richardson
R000242,Ira Rider
R000296,Edward Robb
R000338,James Robinson
R000372,Bernard Rodey
S000107,Robert Scarborough
S000202,Townsend Scudder
S000370,George Shiras
S000373,Francis Shober
S000391,Joseph Shull
S000466,William Skiles
S000538,George Smith
S000695,Burleigh Spalding
S000741,John Spooner
T000046,Farish Tate
T000116,Henry Teller
T000149,John Thayer
T000179,Lot Thomas
T000196,Charles Thompson
T000309,Thomas Tongue
V000062,Henry Van Voorhis
V000032,Willard Vandiver
W000007,Martin Wade
W000158,Vespasian Warner
W000161,William Warnock
W000508,James Williams
W000599,John Wilson
W000756,Charles Wright
W000785,William Wynn
D000302,Charles Dick
A000037,Henry Adams
A000044,Robert Adams
A000083,Nelson Aldrich
A000124,Henry Allen
B000004,Joseph Babcock
B000317,Jacob Beidler
B000429,Albert Beveridge
B000489,Roswell Bishop
B000507,Edmond Blackburn
B000693,Justin Bowersock
B000695,Sydney Bowie
B000870,Moses Broocks
B000878,Franklin Brooks
B000946,Webster Brown
B001029,Clarence Buckman
B001044,Morgan Bulkeley
B001103,Elmer Burkett
B001142,Julius Burrows
B001185,Mounce Butler
C000106,William Campbell
C000200,Thomas Carter
C000244,George Castor
C000924,George Cromer
D000010,Thomas Dale
D000035,John Daniel
D000137,Thomas Davis
D000163,Alston Dayton
D000186,Elias Deemer
D000264,Chauncey Depew
D000329,Frank Dickson
D000461,Blackburn Dovener
D000493,Solomon Dresser
F000107,Scott Field
F000180,William Flack
F000202,Loren Fletcher
F000207,Frank Flint
F000352,James Frazier
F000403,Frank Fulkerson
G000044,Harvey Garber
G000112,John Gearin
G000174,George Gilbert
G000176,Newton Gilbert
G000202,James Gillett
G000497,Charles Grosvenor
H000029,Eugene Hale
H000429,William Hearst
H000441,Thomas Hedge
H000467,James Hemenway
H000531,Binger Hermann
H000649,Robert Hitt
H000655,Rockwood Hoar
H000703,Herschel Hogg
H000773,Francis Hopkins
H000973,John Hunt
K000028,John Kean
K000108,John Kennedy
K000152,John Ketcham
K000265,Frank Klepper
K000268,Marcus Kline
L000010,John Lacey
L000051,Frederick Landis
L000160,Frank Le Fevre
L000255,Rufus Lester
L000309,Mial Lilley
L000347,Lucius Littauer
L000352,John Little
M000066,Thaddeus Mahon
M000145,Benjamin Marsh
M000314,John McCarthy
M000326,James McCleary
M000403,Allan McDermott
M000584,William McNary
M000691,Anthony Michalek
M000798,Edward Minor
M000854,Hernando Money
M000965,Edward Morrell
N000057,Robert Nevin
O000132,Theobald Otjen
P000115,George Patterson
P000117,Gilbert Patterson
P000126,Malcolm Patterson
P000351,Samuel Piles
P000356,John Pinckney
P000547,Redfield Proctor
R000223,James Richardson
R000286,Zeno Rives
R000324,Samuel Robertson
R000513,Jacob Ruppert
S000027,Edmund Samuel
S000134,Gustav Schneebeli
S000182,Nathan Scott
S000195,Thomas Scroggy
S000299,Cassius Shartel
S000398,Joseph Sibley
S000525,David Smith
S000618,Thomas Smith
S000635,William Smith
S000645,Martin Smyser
S000684,Robert Southall
S000687,James Southard
S001055,John Sullivan
T000026,James Taliaferro
T000324,Charles Towne
T000376,South Trimble
T000451,William Tyndall
V000033,Clarence Van Duzer
V000065,Marshall Van Winkle
W000001,Frank Wachter
W000011,James Wadsworth
W000160,William Warner
W000184,Frank Waskey
W000233,Amos Webber
W000260,John Welborn
W000322,Charles Wharton
W000552,John Williamson
W000693,Ernest Wood
Z000005,William Zenor
B000386,Alfred Benson
W000435,William Whyte
A000019,Ernest Acheson
B000044,Joseph Bailey
B000118,Henry Bannon
B000267,Joseph Beale
B000297,James Bede
B000481,Benjamin Birdsall
B000623,Robert Bonynge
B000670,Jonathan Bourne
B000717,John Boyd
B000819,Abraham Brick
B000827,Frank Briggs
B000860,Joseph Brodhead
B000939,Norris Brown
B000977,Charles Brumm
B000979,Stephen Brundidge
B000994,William Bryan
B001125,Henry Burnham
B001151,Hiram Burton
C000029,Ben Caldwell
C000042,Thomas Cale
C000235,Henry Cassel
C000256,Henry Caulfield
C000301,John Chaney
C000690,James Conner
C000717,George Cook
C000761,Samuel Cooper
C000811,Robert Cousins
C000875,Winthrop Crane
C000896,William Crawford
C000973,Shelby Cullom
D000060,Archibald Darragh
D000081,Robert Davey
D000112,Jeff Davis
D000146,Beman Dawes
D000372,Joseph Dixon
D000404,Jonathan Dolliver
D000557,Charles Dunwell
E000110,Stephen Elkins
F000307,John Foster
F000310,Murphy Foster
F000398,William Frye
F000421,Elmer Fulton
G000007,John Gaines
G000032,Robert Gamble
G000187,Clarence Gilhams
G000375,Daniel Granger
G000520,Simon Guggenheim
H000004,Richard Hackett
H000007,Thomas Hackney
H000017,Warren Haggott
H000035,Nathan Hale
H000066,Philo Hall
H000107,Daniel Hamilton
H000190,John Harding
H000322,Kittredge Haskins
H000523,William Hepburn
H000614,Wilson Hill
H000724,Elias Holliday
J000029,William Jackson
J000043,Addison James
J000084,John Jenkins
K000184,William Kimball
K000252,William Kitchin
K000289,Philip Knopf
L000028,James Lamar
L000031,William Lamar
